PGN;PGN label;In CSS electronics' DBC?
61758;Secondary or Front Hitch Yaw command;ISOBUS DBC (2022-08)
61759;Primary or Rear Hitch Yaw command;ISOBUS DBC (2022-08)
61760;Stationary Inverter Average Basic AC Quantities;J1939 DBC
61761;Stationary Inverter Total AC Reactive Power;J1939 DBC
61762;Stationary Inverter Total AC Power;J1939 DBC
61763;Stationary Inverter Control;J1939 DBC
61764;Stationary Inverter to Bus Sync Check Status;J1939 DBC
61765;Engine Cylinder 1 Combustion Pressures;J1939 DBC
61766;Engine Cylinder 2 Combustion Pressures;J1939 DBC
61767;Engine Cylinder 3 Combustion Pressures;J1939 DBC
61768;Engine Cylinder 4 Combustion Pressures;J1939 DBC
61769;Engine Cylinder 5 Combustion Pressures;J1939 DBC
61770;Engine Cylinder 6 Combustion Pressures;J1939 DBC
61771;Engine Cylinder 7 Combustion Pressures;J1939 DBC
61772;Engine Cylinder 8 Combustion Pressures;J1939 DBC
61773;Engine Cylinder 9 Combustion Pressures;J1939 DBC
61774;Engine Cylinder 10 Combustion Pressures;J1939 DBC
61775;Engine Cylinder 11 Combustion Pressures;J1939 DBC
61776;Engine Cylinder 12 Combustion Pressures;J1939 DBC
61777;Engine Cylinder 13 Combustion Pressures;J1939 DBC
61778;Engine Cylinder 14 Combustion Pressures;J1939 DBC
61779;Engine Cylinder 15 Combustion Pressures;J1939 DBC
61780;Engine Cylinder 16 Combustion Pressures;J1939 DBC
61781;Engine Cylinder 17 Combustion Pressures;J1939 DBC
61782;Engine Cylinder 18 Combustion Pressures;J1939 DBC
61783;Engine Cylinder 19 Combustion Pressures;J1939 DBC
61784;Engine Cylinder 20 Combustion Pressures;J1939 DBC
61785;Engine Cylinder 1 Combustion Timing;J1939 DBC
61786;Engine Cylinder 2 Combustion Timing;J1939 DBC
61787;Engine Cylinder 3 Combustion Timing;J1939 DBC
61788;Engine Cylinder 4 Combustion Timing;J1939 DBC
61789;Engine Cylinder 5 Combustion Timing;J1939 DBC
61790;Engine Cylinder 6 Combustion Timing;J1939 DBC
61791;Engine Cylinder 7 Combustion Timing;J1939 DBC
61792;Engine Cylinder 8 Combustion Timing;J1939 DBC
61793;Engine Cylinder 9 Combustion Timing;J1939 DBC
61794;Engine Cylinder 10 Combustion Timing;J1939 DBC
61795;Engine Cylinder 11 Combustion Timing;J1939 DBC
61796;Engine Cylinder 12 Combustion Timing;J1939 DBC
61797;Engine Cylinder 13 Combustion Timing;J1939 DBC
61798;Engine Cylinder 14 Combustion Timing;J1939 DBC
61799;Engine Cylinder 15 Combustion Timing;J1939 DBC
61800;Engine Cylinder 16 Combustion Timing;J1939 DBC
61801;Engine Cylinder 17 Combustion Timing;J1939 DBC
61802;Engine Cylinder 18 Combustion Timing;J1939 DBC
61803;Engine Cylinder 19 Combustion Timing;J1939 DBC
61804;Engine Cylinder 20 Combustion Timing;J1939 DBC
61805;Engine Cylinder 1 Combustion Metrics;J1939 DBC
61806;Engine Cylinder 2 Combustion Metrics;J1939 DBC
61807;Engine Cylinder 3 Combustion Metrics;J1939 DBC
61808;Engine Cylinder 4 Combustion Metrics;J1939 DBC
61809;Engine Cylinder 5 Combustion Metrics;J1939 DBC
61810;Engine Cylinder 6 Combustion Metrics;J1939 DBC
61811;Engine Cylinder 7 Combustion Metrics;J1939 DBC
61812;Engine Cylinder 8 Combustion Metrics;J1939 DBC
